KA-Nr;Bundesland;Bezirk;Versorgungszone;Versorgungsregion;Bezeichnung;Öffentlichkeitsrecht;Gemeinnützigkeit;Fondszugehörigkeit;Adresse;Telefon, Fax;Homepage;Ärztlicher Leiter;Pflegedienstleiter;Verwaltungsdirektor;Bettenanzahl;Bettenführende Fachrichtungen;Intensivbereiche;Großgeräte;Träger-Nr.;Träger Bezeichnung;Träger-Adresse;Träger Telefon, Fax;Träger Homepage
K536;Salzburg;Zell am See;Nord;Pinzgau-Pongau-Lungau;Aö Krankenhaus Zell am See;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Paracelsusstraße 8, 5700 Zell am See;06542/777-51, 06542/777-53;http://www.kh-zellamsee.at;Univ.-Prof. Prim. Dr. Rudolph Pointner;DGKS Maria Buchinger;Dr. Herbert Mayer;248;AN, AU, CH, GEM, GGH, HNO, IM, UC, URO;AN, IM;MR;T507;Stadtgemeinde Zell am See Gesellschaft mbH;Brucker Bundesstraße 2, 5700 Zell am See;06542/766, 06542/766-30;http://www.zellamsee.salzburg.at
K538;Salzburg;Sankt Johann im Pongau;Nord;Pinzgau-Pongau-Lungau;Klinikum Bad Gastein für Orthopädie und Rheumatologie;ohne Öffentlichkeitsrecht;gemeinnützig;Sonstige;Hans-Kudlich-Straße 14, 5640 Bad Gastein;06434/2523-0, 06434/2523-289;;Prim. Dr. Harald Zeindler;DGKS Monika Haunsberger;Adelinde Stockmayr;155;Rehabilitationszentrum (Interne);;;T345;KBB-Klinikum Besitz- und Betriebsgesellschaft mbH;Schottengasse 4/32, 1010 Wien;;
K540;Salzburg;Salzburg(Stadt);Nord;Salzburg-Nord;Sonderkrankenhaus für Alkohol- und Medikamentenabhängige;ohne Öffentlichkeitsrecht;gemeinnützig;Sonstige;Weizensteinerstraße 11, 5020 Salzburg;0662/82 42 03, 0662/82 42 03-20;;Dr. Hannes Bacher;Ann Sutter;Dr. Peter Römer;38;IM;;;T530;Landesverband für Psychohygiene im Bundesland Salzburg;Ignaz-Harrer-Straße 90, 5020 Salzburg;0662/431450, 0662/431450-5;
K541;Salzburg;Zell am See;Nord;Pinzgau-Pongau-Lungau;Rehabilitationszentrum Saalfelden;ohne Öffentlichkeitsrecht;gemeinnützig;Sonstige;Thorerstraße 26, 5760 Saalfelden am Steinernen Meer;06582/790, 06582/790-71190;http://www.ska-saalfelden.at;Priv.-Doz. Mag. Thomas Berger;DGKS Maria Kovar;Dipl. KHBW MAS Helmut Kreindl;133;Rehabilitationszentrum (Interne);;;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K544;Salzburg;Zell am See;Nord;Pinzgau-Pongau-Lungau;Privatklinik Ritzensee;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Schmalenbergham 4, 5760 Saalfelden am Steinernen Meer;06582/794, 06582/794-32;http://www.privatklinik-ritzensee.at;Univ.-Prof. Prim. Dr. Rudolph Pointner;DGKS Maria Buchinger;Dr. Herbert Mayer;38;GEM;;;T531;Privatklinik Ritzensee Gesellschaft mbH;Schmalenbergham 4, 5760 Saalfelden am Steinernen Meer;06582/794, 06582/794-32;http://www.privatklinik-ritzensee.at
K545;Salzburg;Salzburg-Umgebung;Nord;Salzburg-Nord;Rehabilitationszentrum Großgmain;ohne Öffentlichkeitsrecht;gemeinnützig;Sonstige;Salzburgerstraße 520, 5084 Großgmain;06247/7406-0, 06247/7406-47301;http://www.ska-grossgmain.at;Dr. Johann Altenberger;PDL Martin Röhrenbacher;MSc MBA Josef Matthias Liemer;173;Rehabilitationszentrum (Interne);;ECT;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K546;Salzburg;Hallein;Nord;Salzburg-Nord;Emco Privatklinik;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Prof. Martin Hell-Straße 7-9, 5422 Heilbad Dürrnberg;06245/790, 06245/790-590;http://www.emco-klinik.at;Dr. Egon Alzner;DGKS Gabriele Lurzt;Mag. Thomas Kreuz;57;GEM;;;T532;Emco Privatklinik Gesellschaft mbH;Prof. Martin Hell-Straße 7-9, 5422 Heilbad Dürrnberg;06245/790, 06245/790-590;http://www.emco-klinik.at
K547;Salzburg;Hallein;Nord;Salzburg-Nord;Klinik St. Barbara - Medizinisches Zentrum Bad Vigaun;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Karl-Rödhammer-Weg 91, 5424 Vigaun;06245/8999-0, 06245/8999-6884;http://www.klinik-st-barbara.at;Prim. Dr. Georg Günther Bruno Galvan;PDL Heidemarie Mittlböck;Mag. Michael Schafflinger;85;GEM;;;T533;Medizinisches Zentrum Bad Vigaun Gesellschaft mbH & CoKG;Karl-Rödhammer-Weg  91, 5424 Vigaun;06245/8999-602, 06245/8999-690;http://www.klinik-st-barbara.at
K548;Salzburg;Sankt Johann im Pongau;Nord;Pinzgau-Pongau-Lungau;Bärenhof am Felsenbad;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Pykershöhenstraße 11, 5640 Bad Gastein;06434/3366, 06434/2969-15;http://www.baerenhof.at;Dr. Sebastian Edtinger;Margit Petjak;Dipl. KHBW Elke Stachowiak;160;OR;;;T534;Gesundheitszentrum Johannesbad Gesellschaft mbH;Pyrkershöhenstraße 11, 5640 Bad Gastein;06434/3366, 06434/296915;http://www.baerenhof.at
K549;Salzburg;Salzburg(Stadt);Nord;Salzburg-Nord;PKS Privatklinik Salzburg;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Sinnhubstraße 2, 5020 Salzburg;0662/829 033, 0662/829 033-22;http://www.pierersan.com;Dr. Johann Winkler;DGKS Yvonne Bell;Mag. Regina Krünes;21;GEM;;;T535;Dr. Pierer Salzburg Gsellschaft mbH und Co KG;Sinnhubstraße 2, 5020 Salzburg;0662/829033, 0662/829033-22;
K550;Salzburg;Sankt Johann im Pongau;Nord;Pinzgau-Pongau-Lungau;Krankenanstalt Altenmarkt;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Michael-Walchhofer-Straße 13, 5541 Altenmarkt im Pongau;06452/5151-7700, 06452/5151-7709;http://www.agzmed.at;Dr. Johann Gruber;Dr. Johann Gruber;Dr. Johann Gruber;10;GEM;;;T536;Krankenanstalt Altenmarkt Gesellschaft mbH & Co KG;Schwimmbadgasse 600, 5541 Altenmarkt im Pongau;06452/51517700, 06452/51517709;http://www.agzmed.at
K551;Salzburg;Hallein;Nord;Salzburg-Nord;Krankenhaus Abtenau;ohne Öffentlichkeitsrecht;gemeinnützig;Sonstige;Markt 25, 5441 Abtenau;06243/2300, 06243/2300-11;http://www.sbg.at/senioren-abtenau;Prim. Dr. Christoph Mauel;DGKS Angela Kirchgatterer;DGKS Angela Kirchgatterer;22;Pflegeanstalt chronisch Kranker;;;T508;Marktgemeinde Abtenau;Markt 165, 5441 Abtenau;06243/2214, 06243/2214-30;http://www.abtenau.at
K552;Salzburg;Salzburg(Stadt);Nord;Salzburg-Nord;NeuroCare Rehaklinik Salzburg;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Ignaz-Harrer-Straße 79, 5020 Salzburg;0662/4483-4082, 0662/4483-4084;http://www.neurocare.at;OA Dr. Gernot Luthringshausen;DKGP Gerhard Salzlechner;Mag. Paul Mitteröcker;29;NEU;;;T538;Humanocare SALK Reha- und Pflegeklinik Salzburg Gesellschaft mbH;Ignaz-Harrer-Straße 79, 5020 Salzburg;;
K553;Salzburg;Hallein;Nord;Salzburg-Nord;Rehabilitationszentrum für Stoffwechsel- und Gastroenterologische Erkrankungen;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Bürgermeisterstraße 38, 5400 Hallein;06245/70 700;http://interface.gesundheit-pflege.at/betriebe.html;Dr. Goran Tomasec;Mag.  Karl Schweiger;Viktoria Meyer;52;IM;;;T539;Rehabilitationszentrum Hallein Gesellschaft mbH;Sterneckstraße 33, 5020 Salzburg;;http://interface.gesundheit-pflege.at/betriebe.html
K554;Salzburg;Salzburg-Umgebung;Nord;Salzburg-Nord;Rehabilitstionszentrum Oberndorf;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Paraselsusstraße 37a, 5110 Oberndorf bei Salzburg;06272/40740-7005;http://www.reha-oberndorf.at;Prim. Dr. Thomas Ramsauer;DGKP Yvonne Bell;MSc Michaela Fasching;60;OR, UC;;;T541;Rehabilitationszentrum Oberndorf Betriebsgesellschaft mbH;Paracelsusstraße 37a, 5110 Oberndorf bei Salzburg;06272/40740;http://www.reha-oberndorf.at
K555;Salzburg;Hallein;Nord;Salzburg-Nord;Rehabilitationszentrum Bad Vigaun;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Karl-Rödhammer-Weg 91, 5424 Vigaun;06245/8999-0;http://www.badvigaun.com;Prim. Dr. Hildebert Hutt;;GF Mag. Michael Schafflinger;113;GEM;;;T533;Medizinisches Zentrum Bad Vigaun Gesellschaft mbH & CoKG;Karl-Rödhammer-Weg  91, 5424 Vigaun;06245/8999-602, 06245/8999-690;http://www.klinik-st-barbara.at
K556;Salzburg;Salzburg(Stadt);Nord;Salzburg-Nord;Sonderkrankenanstalt für Neurorehabilitation für Kinder und Jugendliche;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Müllner Hauptstraße 48, 5020 Salzburg;0662/4482-2600, 0662/4482-2604;http://www.salk.at;Prim. Univ. Prof. Dr. Wolfgang Sperl;DGKS Margarete Hader;DI Burkhard Van Der Vorst;4;NEU;;;T501;Gemeinnützige Salzburger Landeskliniken Betriebsgesellschaft mbH;Müllner Hauptstraße 48, 5020 Salzburg;0662/4482, 0662/4482-2045;http://www.salk.at
K564;Salzburg;Sankt Johann im Pongau;Nord;Pinzgau-Pongau-Lungau;Onkologisches Rehabilitationszentrum St. Veit/Pongau;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;St. Veiterstraße 48, 5621 St. Veit im Pongau;06415/50300, 06415/50300-9599;http://www.onko-reha-stveit.at;Univ.Prof. Dr. Richard Greil;DGKS Maria Wölfler;MBA Christina Möller;k.A.;;;;T543;Rehabilitationszentrum St. Veit im Pongau Betriebsgesellschaft mbH;St. Veiterstraße 48, 5621 St. Veit im Pongau;;
K601;Steiermark;Bruck-Mürzzuschlag;Süd;Östliche Obersteiermark;Rehabilitationszentrum Aflenz;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Mariazellerstraße 206, 8623 Aflenz Kurort;03861/500, 03861/500-44305;http://www.ska-aflenz.at;Prim. Dr. Susanne Holzgruber;PDL Gabriele Wallner;Peter Redl;217;Rehabilitationszentrum (Interne);;;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K603;Steiermark;Liezen;Süd;Liezen;Rehabilitationszentrum Bad Aussee;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Braungasse 354, 8990 Bad Aussee;03622/525 81-0, 03622/525 81-72190;http://www.ska-badaussee.at;Prim. Dr. Jutta Rus-Machan;DGKS Barbara Kumpf;Ing. Josef Kreimer;175;Rehabilitationszentrum (Interne);;;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K605;Steiermark;Südoststeiermark;Süd;Oststeiermark;Klinikum für Lungen- und Stoffwechselerkrankungen Bad Gleichenberg;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Schweizereiweg 45, 8344 Bad Gleichenberg;03159/2340, 03159/2340-90;;Prim. Dr. Martin Trinker;DGKS Monika Sawetz;Barbara Körbisser;150;Rehabilitationszentrum (Interne);;;T698;Rehabilitationszentrum für Lungen- und Stoffwechselerkrankungen;Bad Gleichenberg 41-42, 8344 Bad Gleichenberg;;
K606;Steiermark;Bruck-Mürzzuschlag;Süd;Östliche Obersteiermark;Landeskrankenhaus Bruck an der Mur;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Tragösser Straße 1, 8600 Bruck an der Mur;03862/895-0, 03862/895-2190;http://www.lkh-bruck.at;Prim. Dr. Heinz Luschnik;DGKS Sylvia Noe;BDir. Nikolaus Koller;324;AU, CH, GEM, IM, NEU, UC;GEM;COR, CT, MR;T601;Steiermärkische Krankenanstaltengesellschaft mbH;Stiftingtalstraße 4-6, 8010 Graz;0316/340-0, 0316/340-5207;http://www.kages.at
K608;Steiermark;Südoststeiermark;Süd;Oststeiermark;Krankenanstaltenverbund Feldbach-Fürstenfeld;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Ottokar-Kernstockstraße 18, 8330 Feldbach;03152/899-0, 03152/899-1127;http://www.lkh-feldbach.at;Univ.-Doz. Prim. Dr. Hannes Hoffmann;DGKP Gerhard Halbwirth;BDir. Dipl. KHBW  Christian Rath;345;CH, GEM, GGH, IM, NEU, UC, URO;GEM;CT, MR;T601;Steiermärkische Krankenanstaltengesellschaft mbH;Stiftingtalstraße 4-6, 8010 Graz;0316/340-0, 0316/340-5207;http://www.kages.at
K610;Steiermark;Liezen;Süd;Liezen;AMEOS Klinikum Bad Aussee;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Sommersbergseestraße 395, 8990 Bad Aussee;03622/52100, 03622/52100-3133;http://www.privatklinik-badaussee.at;Univ.-Porf. Prim. Dr. Marius Nickel;MSc MBA Regina Renner;Dr. Bettina Petter;100;IM, PSY;;;T602;AMEOS Klinikum Bad Aussee Gesellschaft mbH;Sommersbergseestraße 395, 8990 Bad Aussee;03622/52100-0, 03622/52100-3133;
K611;Steiermark;Graz-Umgebung;Süd;Graz;Landeskrankenhaus Hörgas-Enzenbach;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Hörgas 68, 8112 Gratwein;03124/501-0, 03124/501-3024;http://www.lkh-hoergas.at;Prim. Dr. Bernd Bauer;DGKS Berta Weissensteiner;BDir. Wolfgang Feigg;154;IM, PUL;IM, PUL;;T601;Steiermärkische Krankenanstaltengesellschaft mbH;Stiftingtalstraße 4-6, 8010 Graz;0316/340-0, 0316/340-5207;http://www.kages.at
K612;Steiermark;Graz(Stadt);Süd;Graz;Landeskrankenhaus-Universitätsklinikum Graz;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Auenbrugger Platz 1, 8036 Graz;0316/385-0;http://www.klinikum-graz.at;Univ.-Prof. Dr. Gernot Brunner;MSc DGKS Christa Tax;BDir. Mag. Gebhard Falzberger;1530;AN, AU, CH, DER, GEM, GGH, HNO, IM, Inquisitenspital, KCH, KI, MKG, NC, NEU, OR, PCH, PSY, UC, URO,;AN, CH, IM, KCH, KI, NC, NEU,;COR, CT, ECT, MR, PET, STR;T601;Steiermärkische Krankenanstaltengesellschaft mbH;Stiftingtalstraße 4-6, 8010 Graz;0316/340-0, 0316/340-5207;http://www.kages.at
K614;Steiermark;Graz(Stadt);Süd;Graz;Unfallkrankenhaus Graz;ohne Öffentlichkeitsrecht;gemeinnützig;Sonstige;Göstinger Straße 24, 8020 Graz;0316/505-0, 0316/505-3204;http://www.auva.at/ukhgraz;Prim. Univ.-Prof. Dr. Wolfgang Grechenig;DGKS Roswitha Inthal;Ing. Gerald Schlemmer;145;UC;;CT;T081;Allgemeine Unfallversicherungsanstalt, Medizinische Direktion;Adalbert-Stifter-Straße 65, 1200 Wien;01/33111;http://www.auva.at
K615;Steiermark;Graz(Stadt);Süd;Graz;Albert Schweitzer Klinik;mit Öffentlichkeitsrecht;gemeinnützig;Sonstige;Albert Schweitzer-Gasse 36, 8020 Graz;0316/7060-1999, 0316/7060-1329;http://www.ggz.graz.at;Prim. Dr. Eric Stoiser;DGKS Waltraud Haas-wippel;Mag. Dr. Dipl. Ing.  Gerd Hartinger;210;Pflegeanstalt chronisch Kranker;;;T621;Geriatrische Gesundheitszentren der Stadt Graz;Albert-Schweitzer-Gasse 36, 8020 Graz;;http://www.ggz.graz.at
K616;Steiermark;Graz(Stadt);Süd;Graz;Militärspital 1, Belgier-Kaserne Graz;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Straßgangerstraße 171, 8052 Graz-Wetzelsdorf;0316/5993, 0316/5993-1755;;Prim. Dr. Herwig Bertuch;Vzlt. DGKP Manfred Ainödhofer;Hans-Jörg Kral;43;CH, IM;;;T098;BM für Landesverteidigung, Kommando Einsatzunterstützung, Abt. Militärisches Gesundheitswesen;Schwenkgasse 47, 1120 Wien;01/05020110-27741, 01/05020110-17559;http://www.bmlv.gv.at
K617;Steiermark;Liezen;Süd;Liezen;Privatklinik für psychosomatische Therapie;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Sommersbergseestraße 395, 8990 Bad Aussee;03622/52100, 03622/52100-3133;http://www.klinik-badaussee.at;Dr. Johanna Seeliger;MSc MBA Regina Renner;Dr. Bettina Petter;25;IM;;;T603;AMEOS Privatklinikum Bad Aussee Gesellschaft mbH;Sommersbergseestraße 395, 8990 Bad Aussee;;
K619;Steiermark;Graz(Stadt);Süd;Graz;Krankenhaus der Barmherzigen Brüder Graz;ohne Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Marschallgasse 12, 8020 Graz;0316/7067-0, 0316/7067-707;http://www.barmherzige-brueder.at;Univ.-Prof. Dr. Gerhard Schneider;PDL Peter Kelbetz;DKBW Anton Teuschler;217;CH, GEM, GGH, IM;GEM;CT;T080;Konvent der Barmherzigen Brüder Graz;Marschallgasse 12, 8020 Graz;0316/70670, 0316/7067-767;
K620;Steiermark;Graz(Stadt);Süd;Graz;Krankenhaus der Elisabethinen Graz;ohne Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Elisabethinergasse 14, 8020 Graz;0316/7063-0, 0316/7063-1060;http://www.elisabethinen.at;Univ.-Prof. Ing. Dr. Gerhard Stark;DGKS MSc Christine Kienreich;MSc Christian Schroffenegger;197;AN, CH, GEM, HNO, IM;GEM;CT;T605;Krankenhaus der Elisabethinen GmbH;Elisabethinergasse 14, 8020 Graz;0316/7063-0, 0316/7063-1060;http://www.elisabethinen.at
K621;Steiermark;Graz(Stadt);Süd;Graz;Landesnervenklinik Sigmund Freud Graz;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Wagner-Jauregg-Platz 1, 8053 Graz-Neuhart;0316/2191-0, 0316/2191-3418;http://www.lsf-graz.at;Univ.-Prof. Prim. DDr. Michael Lehofer;PDL Franz Lenhardt;BDir. Bernhard Haas;750;KJP, NEU, PSY,;NEU;CT;T601;Steiermärkische Krankenanstaltengesellschaft mbH;Stiftingtalstraße 4-6, 8010 Graz;0316/340-0, 0316/340-5207;http://www.kages.at
K623;Steiermark;Graz(Stadt);Süd;Graz;Privatklinik Leech;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Hugo-Wolf-Gasse 2-4, 8010 Graz;0316/3632-0, 0316/3632-888;http://www.privatklinik-leech.at;Dr. Bernhard Kügler;DGKS Birgit Wagner;Mag. Erich Wegscheider;44;GEM;;CT;T613;Privatklinik Leech Gesellschaft mbH;Hugo-Wolf-Gasse 2-4, 8010 Graz;0316/3632-0, 0316/3632-888;http://www.privatklinik-leech.at
K624;Steiermark;Graz(Stadt);Süd;Graz;Privatklinik der Kreuzschwestern;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Kreuzgasse 35, 8010 Graz;0316/331-0, 0316/331-3444;http://www.kreuzschwestern-graz.at;Prim. Dr. Franz Schwarzl;PDL Elisabeth Müller;Peter Papst;130;GEM;;;T604;Privatklinik der Kreuzschwestern Gesellschaft mbH;Kreuzgasse 35, 8010 Graz;0316/331-0, 0316/331-3444;http://www.kreuzschwestern-graz.at
K625;Steiermark;Graz(Stadt);Süd;Graz;Sanatorium St. Leonhard für Frauenheilkunde und Geburtshilfe;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Schanzelgasse 42, 8010 Graz;0316/3607-0, 0316/3607-66;http://www.leonhard.at;Dr. Johannes Smonig;DGKS Andrea Skof;Ulrike Lechner;44;GGH;;;T614;Sanatorium St. Leonhard für Frauenheilkunde und Geburtshilfe Gesellschaft mbH Graz;Schanzelgasse 42, 8010 Graz;0316/3607-0, 0316/3607-66;http://www.leonhard.at
K627;Steiermark;Graz(Stadt);Süd;Graz;Krankenhaus der Barmherzigen Brüder Graz-Eggenberg;ohne Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Bergstraße 27, 8020 Graz;0316/5989-0, 0316/5989-5055;http://www.barmherzige-brueder.at;Univ.-Prof. Prim. Dr. Gerhard Schneider;DGKS Maria Saliiner-dorfer;Dir. Peter Papst;263;IM, NEU, PSY;;CT, ECT, MR;T080;Konvent der Barmherzigen Brüder Graz;Marschallgasse 12, 8020 Graz;0316/70670, 0316/7067-767;
K629;Steiermark;Graz-Umgebung;Süd;Graz;Johannes von Gott - Pflegezentrum der Barmherzigen Brüder Graz-Kainbach;ohne Öffentlichkeitsrecht;gemeinnützig;Sonstige;Johannes-von-Gott-Straße 12, 8047 Graz-Ragnitz;0316/30 10 81, 0316/30 10 81-60;http://www.kainbach.at;Dr. Elmar Kainz;Günter Widhalm;Erich Hütter;560;Pflegeanstalt chronisch Kranker;;;T624;Konvent der Barmherzigen Brüder Graz;Johannes-von-Gott-Straße 12, 8047 Graz-Ragnitz;0316/30 10 81, 0316/30 10 81-60;http://www.kainbach.at
K630;Steiermark;Liezen;Süd;Liezen;Sonderkrankenanstalt der PVA, REHABZ für Erkrankungen des Stütz- und Bewegungsapparates und neurolgische Erkrankungen;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Hofmanning 214, 8962 Gröbming;03685/223 23, 03685/223 23-141;http://www.ska-groebming.at;Prim. Dr. Anton Ulreich;DGKS Edith Erhardt;Ing. Gerhard Hochbichler;154;Rehabilitationszentrum (Interne);;;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K631;Steiermark;Hartberg-Fürstenfeld;Süd;Oststeiermark;Landeskrankenhaus Hartberg;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Krankenhausplatz 1, 8230 Hartberg;03332/605-0, 03332/605-4088;http://www.lkh-hartberg.at;Prim. Dr. Günther Winkler;DGKS Brigitte Hahn;Dipl. KHBW Walter Eder-Halbedl;163;AN, CH, GGH, IM;AN, IM;CT, MR;T601;Steiermärkische Krankenanstaltengesellschaft mbH;Stiftingtalstraße 4-6, 8010 Graz;0316/340-0, 0316/340-5207;http://www.kages.at
K634;Steiermark;Leoben;Süd;Östliche Obersteiermark;Unfallkrankenhaus Kalwang;ohne Öffentlichkeitsrecht;gemeinnützig;Sonstige;Kalwang 1, 8775 Kalwang;03846/8666-0, 03846/8666-103;http://www.ukhkalwang.at;Prim. Dr. Harald Etschmaier;DGKP MSc Michael Pichler;Dipl. KHBW MAS Helmut Kreiner;70;UC;;CT, MR;T081;Allgemeine Unfallversicherungsanstalt, Medizinische Direktion;Adalbert-Stifter-Straße 65, 1200 Wien;01/33111;http://www.auva.at
K635;Steiermark;Bruck-Mürzzuschlag;Süd;Östliche Obersteiermark;Neurologisches Therapiezentrum Kapfenberg;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Anton-Buchalka-Straße 1, 8605 Kapfenberg;03862/290-0, 03862/290-293;http://www.ntk.at;Prim. Dr. Matthias König;DGKS Andrea Löcker;Dipl. KHBW Mag.  Robert Schober;70;NEU;;;T696;Neurologisches Therapiezentrum Kapfenberg Gesellschaft mbH;Anton-Buchalka-Straße 1, 8605 Kapfenberg;03862/290-0, 03862/290-293;http://www.ntk.at
K638;Steiermark;Leoben;Süd;Östliche Obersteiermark;Landeskrankenhaus Leoben;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Vordernberger Straße 42, 8700 Leoben;03842/401-0, 03842/311- 31193;http://www.lkh-leoben.at;Prim. Dr. Heinz Luschnik;DGKS Sylvia Noe;BDir. Dipl. KHBW  Herbert Kaplans;487;CH, GEM, GGH, HNO, IM, KI, PUL, URO;GEM, IM, KI, PUL;CT, ECT, MR;T601;Steiermärkische Krankenanstaltengesellschaft mbH;Stiftingtalstraße 4-6, 8010 Graz;0316/340-0, 0316/340-5207;http://www.kages.at
K640;Steiermark;Bruck-Mürzzuschlag;Süd;Östliche Obersteiermark;Krankenanstaltenverbund Mürzzuschlag-Mariazell;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Grazer Straße 63-65, 8680 Mürzzuschlag;03852/2080-0, 03852/2080-2007;http://www.lkh-muerzzuschlag.at;Prim. Dr. Eric Schaflinger;DGKS Christa Preissl;BDir. Josef Wedl;124;GEM, IM;IM;COR, CT;T601;Steiermärkische Krankenanstaltengesellschaft mbH;Stiftingtalstraße 4-6, 8010 Graz;0316/340-0, 0316/340-5207;http://www.kages.at
K642;Steiermark;Südoststeiermark;Süd;Oststeiermark;Landeskrankenhaus Bad Radkersburg;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Dr. Schwaiger-Straße 1, 8490 Bad Radkersburg;03476/3501, 03476/2401-3509;http://www.lkh-badradkersburg.at;Prim. Dr. Bernhard Zirm;DGKP Walter Lerchbacher;DI Robert Graf-Stelzl;116;GEM, IM, OR;GEM;CT;T601;Steiermärkische Krankenanstaltengesellschaft mbH;Stiftingtalstraße 4-6, 8010 Graz;0316/340-0, 0316/340-5207;http://www.kages.at
K643;Steiermark;Liezen;Süd;Liezen;Krankenanstaltenverbund Rottenmann-Bad Aussee;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;St. Georgen 2-4, 8786 Rottenmann;03614/2431-0, 03614/2431-2329;http://www.lkh-rottenmann.at;Prim. Dr. Gerhard Melzer;PDL Silvia Zolda;BDir. Harald Kapeller;232;CH, GEM, GGH, IM, OR;CH, GEM, IM;CT, MR;T601;Steiermärkische Krankenanstaltengesellschaft mbH;Stiftingtalstraße 4-6, 8010 Graz;0316/340-0, 0316/340-5207;http://www.kages.at
K645;Steiermark;Graz-Umgebung;Süd;Graz;Rehabilitationszentrum St. Radegund;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Quellenstraße 1, 8061 St. Radegund bei Graz;03132/2351, 03132/2351-121;http://www.ska-st-radegund.at;Dr. Ronald Hödl;Marina Soucek;Dipl. KHBW Gerald Unger;159;Rehabilitationszentrum (Interne);;COR, ECT;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K646;Steiermark;Liezen;Süd;Liezen;Klinik Diakonissen Schladming;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Salzburger Straße 777, 8970 Schladming;03687/2020-0, 03687/2020-7800;http://www.diakonissen-krankenhaus-schladming.at;Prim. Dr. Harald Simader;DGKS Janina Schrempf;Dipl. KHBW Mario Mühlebner;126;CH, GEM, GGH, IM, UC;GEM;CT;T633;Klinik Diakonissen Schladming Gesellschaft mbH;Salzburger Straße 777, 8970 Schladming;;
